Item,Worth,Weight
Lenovo X1 Carbon (5th Gen).40.112
10 pairs thongs.39.80
5 Underarmour Strappy.38.305
1 pair Uniqlo leggings.37.185
2 Lululemon Cool Racerback.36.174
Chargers and cables in Mini Bomber Travel Kit.35.665
The Roost Stand.34.170
ThinkPad Compact Bluetooth Keyboard with trackpoint.33.460
Seagate Backup PlusSlim.32.159
1 pair black denim shorts.31.197
2 pairs Nike Pro shorts.30.112
2 pairs Lululemon shorts.29.184
Isabella T-Strap Croc sandals.28.200
2 Underarmour HeatGear CoolSwitch tank tops.27.138
5 pairs black socks.26.95
2 pairs Injinji Women's Run Lightweight No-Show Toe Socks.25.54
1 fancy tank top.24.71
1 light and stretchylong-sleeve shirt (Gap Fit).23.147
Uniqlo Ultralight Down insulating jacket.22.235
Patagonia Torrentshell.21.301
Lightweight Merino Wool Buff.20.50
1 LBD (H&M).19.174
Field Notes Pitch Black Memo Book Dot-Graph.18.68
Innergie PocketCell USB-C 6000mAh power bank.17.14
Important papers.16.228
Deuter First Aid Kit Active.15.144
Stanley Classic Vacuum Camp Mug 16oz.14.454
JBL Reflect Mini Bluetooth Sport Headphones.13.14
Anker SoundCore nano Bluetooth Speaker.12.89
Oakley Latch Sunglasses.11.30
Ray Ban Wayfarer Classic.10.45
Zip bag of toiletries.9.236
Petzl E+LITE Emergency Headlamp.8.27
Laptop Bag.7.20
Peak Design Cuff Camera Wrist Strap.6.26
Travelon Micro Scale.5.125
BlitzWolf Bluetooth Tripod/Monopod.4.150
Humangear GoBites Duo.3.22
Touchlight.2.10
Vapur Bottle 1L.1.41
